"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"1998-1999   ","Tennessee","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.0","24.4","27.6","2961","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Tennessee","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.2","25.5","28.9","2889","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Tennessee","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.8","27.1","30.5","3784","Overall","All Ages","All Races","All Grades"
"2014-2015","Texas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.5","12.6","14.4","12055","Overall","All Ages","All Races","All Grades"
"2010-2011","Texas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.0","14.1","15.9","11780","Overall","All Ages","All Races","All Grades"
"2006-2007","Texas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.9","16.1","17.7","11208","Overall","All Ages","All Races","All Grades"
"2003","Texas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.2","17.2","19.2","7273","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Texas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.6","18.7","20.5","9357","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Texas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.9","20.1","21.7","10760","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Texas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.3","22.5","24.2","10585","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Texas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.6","22.7","24.4","12460","Overall","All Ages","All Races","All Grades"
"2014-2015","Utah","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","8.0","6.3","9.7","2979","Overall","All Ages","All Races","All Grades"
"2010-2011","Utah","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","10.3","7.9","12.7","2510","Overall","All Ages","All Races","All Grades"
"2006-2007","Utah","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.1","10.7","13.5","2752","Overall","All Ages","All Races","All Grades"
"2003","Utah","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.5","10.0","13.0","2573","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Utah","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.0","10.6","13.4","3085","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Utah","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.7","12.5","15.0","3039","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Utah","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.0","13.7","16.4","3162","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Utah","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.9","15.4","18.4","2952","Overall","All Ages","All Races","All Grades"
"2014-2015","Vermont","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.8","12.9","16.6","3462","Overall","All Ages","All Races","All Grades"
"2010-2011","Vermont","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.9","14.2","17.6","3591","Overall","All Ages","All Races","All Grades"
"2006-2007","Vermont","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.9","18.1","21.7","3352","Overall","All Ages","All Races","All Grades"
"2003","Vermont","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.9","19.2","22.6","2828","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Vermont","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.4","21.9","25.0","3782","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Vermont","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.3","20.7","24.0","2283","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Vermont","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.9","23.1","26.7","2445","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Vermont","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.3","24.5","28.1","2240","Overall","All Ages","All Races","All Grades"
"2014-2015","Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.2","11.6","14.8","4736","Overall","All Ages","All Races","All Grades"
"2010-2011","Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.3","12.5","16.1","4923","Overall","All Ages","All Races","All Grades"
"2006-2007","Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.3","15.0","17.6","4695","Overall","All Ages","All Races","All Grades"
"2003","Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.9","15.3","18.5","2742","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.9","20.3","23.5","3906","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.8","19.3","22.2","3517","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.0","23.4","26.5","3634","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.5","24.0","27.0","3917","Overall","All Ages","All Races","All Grades"
"2014-2015","Washington","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.8","11.4","14.2","4174","Overall","All Ages","All Races","All Grades"
"2010-2011","Washington","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.4","14.1","16.7","3997","Overall","All Ages","All Races","All Grades"
"2006-2007","Washington","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","16.2","19.2","4028","Overall","All Ages","All Races","All Grades"
"2003","Washington","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.3","18.5","22.1","3425","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Washington","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.9","19.2","22.6","4144","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Washington","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.1","18.5","21.8","3012","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Washington","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.3","21.6","25.0","2890","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Washington","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.2","22.5","25.8","3014","Overall","All Ages","All Races","All Grades"
"2014-2015","West Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.7","19.2","24.2","4278","Overall","All Ages","All Races","All Grades"
"2010-2011","West Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.8","20.1","25.5","2589","Overall","All Ages","All Races","All Grades"
"2006-2007","West Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.1","23.3","26.9","2864","Overall","All Ages","All Races","All Grades"
"2003","West Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.7","21.9","25.5","2842","Overall","All Ages","All Races","All Grades"
"2001-2002   ","West Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.3","23.7","26.9","3753","Overall","All Ages","All Races","All Grades"
"1998-1999   ","West Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.4","24.9","27.8","3332","Overall","All Ages","All Races","All Grades"
"1995-1996   ","West Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.8","26.2","29.5","3735","Overall","All Ages","All Races","All Grades"
"1992-1993   ","West Virginia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","30.3","28.5","32.2","3719","Overall","All Ages","All Races","All Grades"
"2014-2015","Wisconsin","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.3","13.7","16.8","3903","Overall","All Ages","All Races","All Grades"
"2010-2011","Wisconsin","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.5","15.0","18.0","4632","Overall","All Ages","All Races","All Grades"
"2006-2007","Wisconsin","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.9","19.3","22.5","4428","Overall","All Ages","All Races","All Grades"
"2003","Wisconsin","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.6","19.0","22.2","3953","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Wisconsin","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.9","21.3","24.4","4956","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Wisconsin","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.5","23.0","26.1","3286","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Wisconsin","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.0","23.4","26.7","3499","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Wisconsin","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.1","24.5","27.7","4405","Overall","All Ages","All Races","All Grades"
"2014-2015","Wyoming","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.2","18.4","22.0","3279","Overall","All Ages","All Races","All Grades"
"2010-2011","Wyoming","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.7","18.4","23.0","2963","Overall","All Ages","All Races","All Grades"
"2006-2007","Wyoming","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.9","21.9","25.9","2927","Overall","All Ages","All Races","All Grades"
"2003","Wyoming","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.7","18.9","22.5","2686","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Wyoming","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.2","21.5","24.9","3342","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Wyoming","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.7","22.1","25.3","3105","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Wyoming","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.1","23.3","26.9","3162","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Wyoming","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.9","22.9","26.8","2489","Overall","All Ages","All Races","All Grades"
